Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
1840,Malderen,Ja,LONDERZEEL,VLAAMS-BRABANT
1840,Steenhuffel,Ja,LONDERZEEL,VLAAMS-BRABANT
1850,Grimbergen,Neen,GRIMBERGEN,VLAAMS-BRABANT
1851,Humbeek,Ja,GRIMBERGEN,VLAAMS-BRABANT
1852,Beigem,Ja,GRIMBERGEN,VLAAMS-BRABANT
1853,Strombeek-Bever,Ja,GRIMBERGEN,VLAAMS-BRABANT
1860,Meise,Neen,MEISE,VLAAMS-BRABANT
1861,Wolvertem,Ja,MEISE,VLAAMS-BRABANT
1880,Kapelle-op-den-Bos,Neen,KAPELLE-OP-DEN-BOS,VLAAMS-BRABANT
1880,Nieuwenrode,Ja,KAPELLE-OP-DEN-BOS,VLAAMS-BRABANT
1880,Ramsdonk,Ja,KAPELLE-OP-DEN-BOS,VLAAMS-BRABANT
1910,Berg,Ja,KAMPENHOUT,VLAAMS-BRABANT
1910,Buken,Ja,KAMPENHOUT,VLAAMS-BRABANT
1910,Kampenhout,Neen,KAMPENHOUT,VLAAMS-BRABANT
1910,Nederokkerzeel,Ja,KAMPENHOUT,VLAAMS-BRABANT
1930,Nossegem,Ja,ZAVENTEM,VLAAMS-BRABANT
1930,Zaventem,Neen,ZAVENTEM,VLAAMS-BRABANT
1931,Brucargo,,Brucargo,
1932,Sint-Stevens-Woluwe,Ja,ZAVENTEM,VLAAMS-BRABANT
1933,Sterrebeek,Ja,ZAVENTEM,VLAAMS-BRABANT
1934,Office Exchange Brussels Airport Remailing,,Office Exchange Brussels Airport Remailing,
1935,Corporate Village,,Corporate Village,
1950,Kraainem,Neen,KRAAINEM,VLAAMS-BRABANT
1970,Wezembeek-Oppem,Neen,WEZEMBEEK-OPPEM,VLAAMS-BRABANT
1980,Eppegem,Ja,ZEMST,VLAAMS-BRABANT
1980,Zemst,Neen,ZEMST,VLAAMS-BRABANT
1981,Hofstade,Ja,ZEMST,VLAAMS-BRABANT
1982,Elewijt,Ja,ZEMST,VLAAMS-BRABANT
1982,Weerde,Ja,ZEMST,VLAAMS-BRABANT
2000,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2018,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2020,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2030,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2040,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2040,Berendrecht,Ja,ANTWERPEN,ANTWERPEN
2040,Lillo,Ja,ANTWERPEN,ANTWERPEN
2040,Zandvliet,Ja,ANTWERPEN,ANTWERPEN
2050,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2060,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2070,Burcht,Ja,ZWIJNDRECHT,ANTWERPEN
2070,Zwijndrecht,Neen,ZWIJNDRECHT,ANTWERPEN
2099,Antwerpen X,,Antwerpen X,
2100,Deurne,Ja,ANTWERPEN,ANTWERPEN
2110,Wijnegem,Neen,WIJNEGEM,ANTWERPEN
2140,Borgerhout,Ja,ANTWERPEN,ANTWERPEN
2150,Borsbeek,Neen,BORSBEEK,ANTWERPEN
2160,Wommelgem,Neen,WOMMELGEM,ANTWERPEN
2170,Merksem,Ja,ANTWERPEN,ANTWERPEN
2180,Ekeren,Ja,ANTWERPEN,ANTWERPEN
2200,Herentals,Neen,HERENTALS,ANTWERPEN
2200,Morkhoven,Ja,HERENTALS,ANTWERPEN
2200,Noorderwijk,Ja,HERENTALS,ANTWERPEN
2220,Hallaar,Ja,HEIST-OP-DEN-BERG,ANTWERPEN
2220,Heist-op-den-Berg,Neen,HEIST-OP-DEN-BERG,ANTWERPEN
2221,Booischot,Ja,HEIST-OP-DEN-BERG,ANTWERPEN
2222,Itegem,Ja,HEIST-OP-DEN-BERG,ANTWERPEN
2222,Wiekevorst,Ja,HEIST-OP-DEN-BERG,ANTWERPEN
2223,Schriek,Ja,HEIST-OP-DEN-BERG,ANTWERPEN
2230,Herselt,Neen,HERSELT,ANTWERPEN
2230,Ramsel,Ja,HERSELT,ANTWERPEN
2235,Houtvenne,Ja,HULSHOUT,ANTWERPEN
2235,Hulshout,Neen,HULSHOUT,ANTWERPEN
2235,Westmeerbeek,Ja,HULSHOUT,ANTWERPEN
2240,Massenhoven,Ja,ZANDHOVEN,ANTWERPEN
2240,Viersel,Ja,ZANDHOVEN,ANTWERPEN
2240,Zandhoven,Neen,ZANDHOVEN,ANTWERPEN
2242,Pulderbos,Ja,ZANDHOVEN,ANTWERPEN
2243,Pulle,Ja,ZANDHOVEN,ANTWERPEN
2250,Olen,Neen,OLEN,ANTWERPEN
2260,Oevel,Ja,WESTERLO,ANTWERPEN
2260,Tongerlo,Ja,WESTERLO,ANTWERPEN
2260,Westerlo,Neen,WESTERLO,ANTWERPEN
2260,Zoerle-Parwijs,Ja,WESTERLO,ANTWERPEN
2270,Herenthout,Neen,HERENTHOUT,ANTWERPEN
2275,Gierle,Ja,LILLE,ANTWERPEN
2275,Lille,Neen,LILLE,ANTWERPEN
2275,Poederlee,Ja,LILLE,ANTWERPEN
2275,Wechelderzande,Ja,LILLE,ANTWERPEN
2280,Grobbendonk,Neen,GROBBENDONK,ANTWERPEN
2288,Bouwel,Ja,GROBBENDONK,ANTWERPEN
2290,Vorselaar,Neen,VORSELAAR,ANTWERPEN
2300,Turnhout,Neen,TURNHOUT,ANTWERPEN
2310,Rijkevorsel,Neen,RIJKEVORSEL,ANTWERPEN
2320,Hoogstraten,Neen,HOOGSTRATEN,ANTWERPEN
2321,Meer,Ja,HOOGSTRATEN,ANTWERPEN
2322,Minderhout,Ja,HOOGSTRATEN,ANTWERPEN
2323,Wortel,Ja,HOOGSTRATEN,ANTWERPEN
2328,Meerle,Ja,HOOGSTRATEN,ANTWERPEN
2330,Merksplas,Neen,MERKSPLAS,ANTWERPEN
2340,Beerse,Neen,BEERSE,ANTWERPEN
2340,Vlimmeren,Ja,BEERSE,ANTWERPEN
2350,Vosselaar,Neen,VOSSELAAR,ANTWERPEN
2360,Oud-Turnhout,Neen,OUD-TURNHOUT,ANTWERPEN
2370,Arendonk,Neen,ARENDONK,ANTWERPEN
2380,Ravels,Neen,RAVELS,ANTWERPEN
2381,Weelde,Ja,RAVELS,ANTWERPEN
2382,Poppel,Ja,RAVELS,ANTWERPEN
2387,Baarle-Hertog,Neen,BAARLE-HERTOG,ANTWERPEN
2390,Malle,Neen,MALLE,ANTWERPEN
2390,Oostmalle,Ja,MALLE,ANTWERPEN
2390,Westmalle,Ja,MALLE,ANTWERPEN
2400,Mol,Neen,MOL,ANTWERPEN
2430,Eindhout,Ja,LAAKDAL,ANTWERPEN
2430,Vorst,Ja,LAAKDAL,ANTWERPEN
2431,Varendonk,Ja,LAAKDAL,ANTWERPEN
2431,Veerle,Ja,LAAKDAL,ANTWERPEN
2440,Geel,Neen,GEEL,ANTWERPEN
2450,Meerhout,Neen,MEERHOUT,ANTWERPEN
2460,Kasterlee,Neen,KASTERLEE,ANTWERPEN
2460,Lichtaart,Ja,KASTERLEE,ANTWERPEN
2460,Tielen,Ja,KASTERLEE,ANTWERPEN
2470,Retie,Neen,RETIE,ANTWERPEN
2480,Dessel,Neen,DESSEL,ANTWERPEN
2490,Balen,Neen,BALEN,ANTWERPEN
2491,Olmen,Ja,BALEN,ANTWERPEN
2500,Koningshooikt,Ja,LIER,ANTWERPEN
2500,Lier,Neen,LIER,ANTWERPEN
2520,Broechem,Ja,RANST,ANTWERPEN
2520,Emblem,Ja,RANST,ANTWERPEN
2520,Oelegem,Ja,RANST,ANTWERPEN
2520,Ranst,Neen,RANST,ANTWERPEN
2530,Boechout,Neen,BOECHOUT,ANTWERPEN
2531,Vremde,Ja,BOECHOUT,ANTWERPEN
2540,Hove,Neen,HOVE,ANTWERPEN
2547,Lint,Neen,LINT,ANTWERPEN
2550,Kontich,Neen,KONTICH,ANTWERPEN
2550,Waarloos,Ja,KONTICH,ANTWERPEN
2560,Bevel,Ja,NIJLEN,ANTWERPEN
2560,Kessel,Ja,NIJLEN,ANTWERPEN
2560,Nijlen,Neen,NIJLEN,ANTWERPEN
2570,Duffel,Neen,DUFFEL,ANTWERPEN
2580,Beerzel,Ja,PUTTE,ANTWERPEN
2580,Putte,Neen,PUTTE,ANTWERPEN
2590,Berlaar,Neen,BERLAAR,ANTWERPEN
2590,Gestel,Ja,BERLAAR,ANTWERPEN
2600,Berchem,Ja,ANTWERPEN,ANTWERPEN
2610,Wilrijk,Ja,ANTWERPEN,ANTWERPEN
2620,Hemiksem,Neen,HEMIKSEM,ANTWERPEN
2627,Schelle,Neen,SCHELLE,ANTWERPEN
2630,Aartselaar,Neen,AARTSELAAR,ANTWERPEN
2640,Mortsel,Neen,MORTSEL,ANTWERPEN
2650,Edegem,Neen,EDEGEM,ANTWERPEN
2660,Hoboken,Ja,ANTWERPEN,ANTWERPEN
2800,Mechelen,Neen,MECHELEN,ANTWERPEN
2800,Walem,Ja,MECHELEN,ANTWERPEN
2801,Heffen,Ja,MECHELEN,ANTWERPEN
2811,Hombeek,Ja,MECHELEN,ANTWERPEN
2811,Leest,Ja,MECHELEN,ANTWERPEN
2812,Muizen,Ja,MECHELEN,ANTWERPEN
2820,Bonheiden,Neen,BONHEIDEN,ANTWERPEN
2820,Rijmenam,Ja,BONHEIDEN,ANTWERPEN
2830,Blaasveld,Ja,WILLEBROEK,ANTWERPEN
2830,Heindonk,Ja,WILLEBROEK,ANTWERPEN
2830,Tisselt,Ja,WILLEBROEK,ANTWERPEN
